,wind speed ,direction
2014-04-02-08-29,0.38,330.69999999999999
2014-04-02-08-40,0.20999999999999999,50.530000000000001
2014-04-02-08-50,0.16,79.299999999999997
2014-04-02-09-10,0.13,223.19999999999999
2014-04-02-09-20,0.17000000000000001,235.09999999999999
2014-04-02-09-30,1.1399999999999999,56.700000000000003
2014-04-02-09-40,1.3300000000000001,35.939999999999998
2014-04-02-09-49,1.45,56.799999999999997
2014-04-02-09-59,1.7,52.700000000000003
2014-04-02-10-10,0.52000000000000002,20.539999999999999
2014-04-02-10-20,0.37,331.80000000000001
2014-04-02-10-30,0.46000000000000002,292.89999999999998
2014-04-02-10-40,0.46999999999999997,297.19999999999999
2014-04-02-10-50,0.39000000000000001,269.89999999999998
2014-04-02-11-00,0.5,274.69999999999999
2014-04-02-11-10,0.46999999999999997,291.10000000000002
2014-04-02-11-19,0.38,285.0
2014-04-02-11-29,1.1299999999999999,312.30000000000001
2014-04-02-11-40,0.85999999999999999,285.39999999999998
2014-04-02-11-50,1.5600000000000001,281.0
2014-04-02-12-00,1.3899999999999999,273.69999999999999
2014-04-02-12-10,1.1899999999999999,265.30000000000001
2014-04-02-12-20,0.40000000000000002,269.10000000000002
2014-04-02-12-30,0.12,358.5
2014-04-02-12-40,0.73999999999999999,30.010000000000002
2014-04-02-12-49,0.55000000000000004,45.43
2014-04-02-12-59,0.35999999999999999,67.200000000000003
2014-04-02-13-10,0.20999999999999999,285.89999999999998
2014-04-02-13-20,0.79000000000000004,280.39999999999998
2014-04-02-13-30,0.82999999999999996,273.80000000000001
2014-04-02-13-40,0.53000000000000003,271.5
2014-04-02-13-50,0.37,268.5
2014-04-02-14-00,0.16,247.40000000000001
2014-04-02-14-10,0.29999999999999999,244.59999999999999
2014-04-02-14-19,0.19,245.5
2014-04-02-14-29,0.10000000000000001,38.859999999999999
2014-04-02-14-40,0.10000000000000001,97.0
2014-04-02-14-50,0.77000000000000002,102.90000000000001
2014-04-02-15-00,1.6799999999999999,103.0
2014-04-02-15-10,2.0899999999999999,105.5
2014-04-02-15-20,2.6000000000000001,113.8
2014-04-02-15-30,2.8399999999999999,118.8
2014-04-02-15-40,3.21,118.7
2014-04-02-15-49,3.3700000000000001,124.8
2014-04-02-15-59,3.77,122.3
2014-04-02-16-10,3.7799999999999998,119.0
2014-04-02-16-20,3.4399999999999999,126.5
2014-04-02-16-30,3.9700000000000002,117.09999999999999
2014-04-02-16-40,4.5300000000000002,114.7
2014-04-02-16-50,4.8899999999999997,118.2
2014-04-02-17-00,4.6299999999999999,121.7
2014-04-02-17-10,5.04,128.19999999999999
2014-04-02-17-19,5.5099999999999998,128.69999999999999
2014-04-02-17-29,5.5800000000000001,130.5
2014-04-02-17-40,5.1200000000000001,130.19999999999999
2014-04-02-17-50,5.1100000000000003,132.0
2014-04-02-18-00,5.2699999999999996,134.09999999999999
2014-04-02-18-10,5.3099999999999996,128.5
2014-04-02-18-20,5.7999999999999998,130.30000000000001
