,u,v,depth
2009-09-05-12-59,-4.5800000000000001,5.3300000000000001,62.0
2009-09-05-14-00,0.050000000000000003,-1.96,62.0
2009-09-05-15-00,-2.0699999999999998,-2.8999999999999999,62.0
2009-09-05-15-59,-8.5099999999999998,-2.5899999999999999,62.0
2009-09-05-17-00,0.45000000000000001,-1.54,62.0
2009-09-05-18-00,1.5600000000000001,-0.68999999999999995,62.0
2009-09-05-18-59,3.1099999999999999,-0.65000000000000002,62.0
2009-09-05-20-00,-9.3100000000000005,1.55,62.0
2009-09-06-00-59,-2.02,-0.58999999999999997,62.0
2009-09-06-02-00,-5.3700000000000001,-0.53000000000000003,62.0
2009-09-06-03-00,-2.5699999999999998,0.59999999999999998,62.0
2009-09-06-03-59,-9.1300000000000008,-2.25,62.0
2009-09-06-05-00,-8.7400000000000002,-8.5999999999999996,62.0
2009-09-06-06-00,1.1899999999999999,-1.22,62.0
2009-09-06-06-59,4.0700000000000003,-4.6500000000000004,62.0
2009-09-06-08-00,5.8399999999999999,1.3999999999999999,62.0
2009-09-06-09-00,7.46,-2.71,62.0
2009-09-06-09-59,9.4900000000000002,-14.630000000000001,62.0
2009-09-06-11-00,5.1100000000000003,2.8500000000000001,62.0
2009-09-06-12-00,-1.78,-1.04,62.0
2009-09-06-12-59,2.5699999999999998,-4.8700000000000001,62.0
2009-09-06-14-00,4.2300000000000004,-4.4900000000000002,62.0
2009-09-06-15-00,-0.5,-1.5,62.0
2009-09-06-15-59,-1.9399999999999999,-0.14999999999999999,62.0
2009-09-06-17-00,4.9500000000000002,-4.7999999999999998,62.0
2009-09-06-18-00,3.0600000000000001,-7.96,62.0
2009-09-06-18-59,-3.3900000000000001,-9.4299999999999997,62.0
2009-09-06-20-00,-0.69999999999999996,2.3999999999999999,62.0
2009-09-06-21-00,-5.7999999999999998,7.3700000000000001,62.0
2009-09-06-21-59,4.6500000000000004,5.8399999999999999,62.0
2009-09-06-23-00,-0.55000000000000004,1.51,62.0
2009-09-07-00-00,-5.6699999999999999,4.0700000000000003,62.0
2009-09-07-00-59,-3.6400000000000001,0.70999999999999996,62.0
2009-09-07-02-00,-2.2200000000000002,5.0800000000000001,62.0
2009-09-07-03-00,-0.71999999999999997,0.31,62.0
2009-09-07-03-59,-9.8300000000000001,-3.8100000000000001,62.0
2009-09-07-05-00,-1.0,-0.5,62.0
2009-09-07-06-00,5.3399999999999999,-3.6499999999999999,62.0
2009-09-07-06-59,5.0999999999999996,-1.4199999999999999,62.0
2009-09-07-08-00,-0.12,1.1100000000000001,62.0
2009-09-07-09-00,-6.2599999999999998,7.8600000000000003,62.0
2009-09-07-09-59,3.3399999999999999,5.6699999999999999,62.0
2009-09-07-11-00,-4.7300000000000004,7.2599999999999998,62.0
2009-09-07-12-00,-4.5700000000000003,7.4199999999999999,62.0
2009-09-07-12-59,-2.3599999999999999,7.0199999999999996,62.0
2009-09-07-14-00,-1.28,2.96,62.0
2009-09-07-15-00,0.75,-1.1399999999999999,62.0
2009-09-07-15-59,-9.7899999999999991,-2.8599999999999999,62.0
2009-09-07-17-00,-0.59999999999999998,3.4700000000000002,62.0
2009-09-07-18-00,-1.1799999999999999,-0.96999999999999997,62.0
2009-09-07-18-59,-0.38,1.6599999999999999,62.0
2009-09-07-20-00,-3.1899999999999999,0.20999999999999999,62.0
2009-09-07-21-00,2.77,-19.09,62.0
2009-09-07-21-59,7.6600000000000001,-16.93,62.0
2009-09-08-00-00,-6.1399999999999997,-5.0199999999999996,62.0
2009-09-08-00-59,-9.1300000000000008,-0.47999999999999998,62.0
2009-09-08-03-59,-6.9900000000000002,3.5800000000000001,62.0
2009-09-08-05-00,-1.6399999999999999,-3.29,62.0
2009-09-08-06-00,-0.90000000000000002,1.3,62.0
2009-09-08-06-59,-8.5099999999999998,-8.3200000000000003,62.0
2009-09-08-08-00,-3.6299999999999999,9.5700000000000003,62.0
2009-09-08-09-00,4.6799999999999997,-7.7999999999999998,62.0
2009-09-08-09-59,0.46000000000000002,-3.7200000000000002,62.0
2009-09-08-11-00,6.8799999999999999,-1.4299999999999999,62.0
2009-09-08-12-00,2.75,6.6399999999999997,62.0
2009-09-08-12-59,-6.4199999999999999,2.71,62.0
2009-09-08-14-00,-6.1100000000000003,2.3799999999999999,62.0
2009-09-08-15-00,-1.99,0.040000000000000001,62.0
2009-09-08-15-59,-6.04,-3.2200000000000002,62.0
2009-09-08-17-00,-3.8300000000000001,-2.5800000000000001,62.0
2009-09-08-18-00,3.8100000000000001,-8.0500000000000007,62.0
2009-09-08-18-59,-1.1100000000000001,-3.3399999999999999,62.0
2009-09-08-20-00,2.2599999999999998,-0.58999999999999997,62.0
2009-09-09-00-00,-4.4699999999999998,-20.690000000000001,62.0
2009-09-09-02-00,-6.5499999999999998,6.0,62.0
2009-09-09-03-00,-5.7400000000000002,8.9499999999999993,62.0
2009-09-09-03-59,-3.8100000000000001,-7.9900000000000002,62.0
2009-09-09-05-00,-9.7300000000000004,-1.28,62.0
2009-09-09-06-00,-6.1799999999999997,2.2599999999999998,62.0
2009-09-09-06-59,0.25,3.4100000000000001,62.0
2009-09-09-08-00,3.2999999999999998,1.8999999999999999,62.0
2009-09-09-09-00,6.5800000000000001,-9.3300000000000001,62.0
2009-09-09-09-59,6.4000000000000004,-9.0700000000000003,62.0
2009-09-09-11-00,-0.93000000000000005,-3.6000000000000001,62.0
2009-09-09-12-00,-0.93999999999999995,1.0800000000000001,62.0
2009-09-09-12-59,6.21,0.14999999999999999,62.0
2009-09-09-14-00,-2.1699999999999999,-2.2000000000000002,62.0
2009-09-09-15-00,6.6100000000000003,4.1200000000000001,62.0
2009-09-09-15-59,5.0300000000000002,2.4100000000000001,62.0
2009-09-09-17-00,3.8900000000000001,2.3900000000000001,62.0
2009-09-09-18-00,0.19,0.78000000000000003,62.0
2009-09-09-18-59,0.58999999999999997,-8.7899999999999991,62.0
2009-09-09-20-00,4.0999999999999996,-7.2400000000000002,62.0
2009-09-09-21-00,4.3200000000000003,-3.0099999999999998,62.0
2009-09-09-21-59,-3.6699999999999999,2.5699999999999998,62.0
