,current speed,direction,u,v
2003-01-05-14-00,12.609999999999999,322.58999999999997,-7.6600000000000001,10.02
2003-01-05-15-00,10.56,300.44,-9.0999999999999996,5.3499999999999996
2003-01-05-15-59,7.9199999999999999,267.04000000000002,-7.9100000000000001,-0.40999999999999998
2003-01-05-17-00,7.04,296.22000000000003,-6.3099999999999996,3.1099999999999999
2003-01-05-20-00,73.030000000000001,318.37,-48.509999999999998,54.590000000000003
2003-01-06-03-00,42.530000000000001,322.94,-25.629999999999999,33.939999999999998
2003-01-06-14-00,40.479999999999997,124.64,33.299999999999997,-23.010000000000002
2003-02-07-09-00,8.2100000000000009,65.920000000000002,7.5,3.3500000000000001
2003-02-07-09-59,14.960000000000001,80.340000000000003,14.75,2.5099999999999998
2003-02-07-11-00,16.719999999999999,61.0,14.619999999999999,8.0999999999999996
2003-02-07-12-00,19.940000000000001,50.450000000000003,15.380000000000001,12.699999999999999
2003-02-07-12-59,15.84,67.329999999999998,14.609999999999999,6.0999999999999996
2003-02-07-14-00,10.56,75.420000000000002,10.220000000000001,2.6600000000000001
2003-02-07-15-00,3.52,98.269999999999996,3.48,-0.51000000000000001
2003-02-07-15-59,2.3500000000000001,75.769999999999996,2.27,0.57999999999999996
2003-02-07-17-00,7.3300000000000001,221.33000000000001,-4.8399999999999999,-5.5099999999999998
2003-02-07-18-00,11.15,212.88999999999999,-6.0499999999999998,-9.3599999999999994
2003-02-07-18-59,11.73,229.77000000000001,-8.9600000000000009,-7.5800000000000001
2003-02-07-20-00,12.029999999999999,198.83000000000001,-3.8799999999999999,-11.380000000000001
2003-02-07-21-00,9.6799999999999997,180.90000000000001,-0.14999999999999999,-9.6799999999999997
2003-02-07-21-59,12.91,166.83000000000001,2.9399999999999999,-12.57
2003-02-07-23-00,11.44,155.58000000000001,4.7300000000000004,-10.42
2003-02-08-00-00,12.32,135.19,8.6799999999999997,-8.7400000000000002
2003-02-08-00-59,11.44,105.65000000000001,11.01,-3.0899999999999999
2003-02-08-02-00,14.960000000000001,120.77,12.85,-7.6500000000000004
