,depth,temp,salinity
2008-01-03-00-00,20.0,5.4800000000000004,32.520000000000003
2008-01-03-00-59,20.0,5.5199999999999996,32.539999999999999
2008-01-03-02-00,20.0,5.4500000000000002,32.530000000000001
2008-01-03-03-00,20.0,5.5099999999999998,32.549999999999997
2008-01-03-03-59,20.0,5.4400000000000004,32.539999999999999
2008-01-03-05-00,20.0,5.5099999999999998,32.57
2008-01-03-06-00,20.0,5.5700000000000003,32.609999999999999
2008-01-03-06-59,20.0,5.6200000000000001,32.619999999999997
2008-01-03-08-00,20.0,5.5800000000000001,32.619999999999997
2008-01-03-09-00,20.0,5.6399999999999997,32.640000000000001
2008-01-03-09-59,20.0,5.6100000000000003,32.630000000000003
2008-01-03-11-00,20.0,5.54,32.619999999999997
2008-01-03-12-00,20.0,5.3200000000000003,32.549999999999997
2008-01-03-12-59,20.0,5.3300000000000001,32.530000000000001
2008-01-03-14-00,20.0,5.3499999999999996,32.549999999999997
2008-01-03-15-00,20.0,5.21,32.439999999999998
2008-01-03-15-59,20.0,5.1500000000000004,32.399999999999999
2008-01-03-17-00,20.0,5.2599999999999998,32.450000000000003
2008-01-03-18-00,20.0,5.2599999999999998,32.450000000000003
2008-01-03-18-59,20.0,5.2800000000000002,32.479999999999997
2008-01-03-20-00,20.0,5.2400000000000002,32.450000000000003
2008-01-03-21-00,20.0,5.0899999999999999,32.390000000000001
2008-01-03-21-59,20.0,5.1399999999999997,32.409999999999997
2008-01-03-23-00,20.0,5.0999999999999996,32.399999999999999
2008-01-04-00-00,20.0,5.1500000000000004,32.420000000000002
2008-01-04-00-59,20.0,5.1799999999999997,32.43
2008-01-04-02-00,20.0,5.1699999999999999,32.43
2008-01-04-03-00,20.0,5.1500000000000004,32.439999999999998
2008-01-04-03-59,20.0,4.7300000000000004,32.229999999999997
2008-01-04-05-00,20.0,5.0099999999999998,32.350000000000001
2008-01-04-06-00,20.0,5.0300000000000002,32.359999999999999
2008-01-04-06-59,20.0,4.9800000000000004,32.359999999999999
2008-01-04-08-00,20.0,4.9299999999999997,32.329999999999998
2008-01-04-09-00,20.0,4.8499999999999996,32.270000000000003
2008-01-04-09-59,20.0,4.8499999999999996,32.270000000000003
2008-01-04-11-00,20.0,4.8799999999999999,32.289999999999999
2008-01-04-12-00,20.0,4.8399999999999999,32.270000000000003
2008-01-04-12-59,20.0,4.8399999999999999,32.280000000000001
2008-01-04-14-00,20.0,4.8399999999999999,32.280000000000001
2008-01-04-15-00,20.0,4.8499999999999996,32.310000000000002
2008-01-04-15-59,20.0,4.6799999999999997,32.240000000000002
2008-01-04-17-00,20.0,4.5800000000000001,32.219999999999999
2008-01-04-18-00,20.0,4.7400000000000002,32.289999999999999
2008-01-04-18-59,20.0,4.7699999999999996,32.310000000000002
2008-01-04-20-00,20.0,4.7400000000000002,32.289999999999999
2008-01-04-21-00,20.0,4.6399999999999997,32.310000000000002
2008-01-04-21-59,20.0,4.71,32.32
2008-01-04-23-00,20.0,4.6699999999999999,32.289999999999999
2008-01-05-00-00,20.0,4.5999999999999996,32.270000000000003
2008-01-05-00-59,20.0,4.5300000000000002,32.240000000000002
2008-01-05-02-00,20.0,4.5199999999999996,32.210000000000001
2008-01-05-03-00,20.0,4.5300000000000002,32.229999999999997
2008-01-05-03-59,20.0,4.5800000000000001,32.280000000000001
2008-01-05-05-00,20.0,4.6699999999999999,32.350000000000001
2008-01-05-06-00,20.0,4.7699999999999996,32.399999999999999
2008-01-05-06-59,20.0,4.7599999999999998,32.399999999999999
